Code;District/City Name;Sit In
A;Augsburg (Stadt);Augsburg
A;Augsburg (Kreis);Augsburg
AA;Ostalbkreis;Aalen
AB;Aschaffenburg (Stadt);Aschaffenburg
AB;Aschaffenburg (Kreis);Aschaffenburg
ABG;Altenburger Land;Altenburg
ABI;Anhalt-Bitterfeld;Köthen
AC;Aachen;Aachen
AIC;Aichach/Friedberg;Aichach
AK;Altenkirchen;Altenkirchen
AM;Amberg;Amberg
AN;Ansbach (Stadt);Ansbach
AN;Ansbach (Kreis);Ansbach
AÖ;Altötting;Altötting
AP;Weimarer Land;Apolda
AS;Amberg-Sulzbach;Amberg
AUR;Aurich;Aurich
AW;Ahrweiler;Ahrweiler
AZ;Alzey-Worms;Alzey
B;Berlin;Berlin
BA;Bamberg (Stadt);Bamberg
BA;Bamberg (Kreis);Bamberg
BAD;Baden-Baden;Baden-Baden
BAR;Barnim;Eberswalde
BB;Böblingen;Böblingen
BC;Biberach;Biberach
BGL;Berchtesgadener Land;Bad Reichenhall
BI;Bielefeld;Bielefeld
BIR;Birkenfeld;Birkenfeld
BIT;Bitburg-Prüm;Bitburg/Eifel
BK;Börde;Haldensleben
BL;Zollernalbkreis;Balingen
BLK;Burgenland;Naumburg(Saale)
BM;Rhein-Erft-Kreis;Bergheim
BN;Bonn;Bonn
BO;Bochum;Bochum
BOR;Borken;Borken
BOT;Bottrop;Bottrop
BRA;Wesermarsch;Brake
BRB;Brandenburg;Brandenburg
BS;Braunschweig;Braunschweig
BT;Bayreuth (Stadt);Bayreuth
BT;Bayreuth (Kreis);Bayreuth
BÜS;Büsingen (LK Konstanz);Konstanz
BZ;Bautzen;Bautzen
C;Chemnitz;Chemnitz
CB;Cottbus;Cottbus
CE;Celle;Celle
CHA;Cham;Cham
CLP;Cloppenburg;Cloppenburg
CO;Coburg (Stadt);Coburg
CO;Coburg (Kreis);Coburg
COC;Cochem-Zell;Cochem
COE;Coesfeld;Coesfeld
CUX;Cuxhaven;Cuxhaven
CW;Calw;Calw
D;Düsseldorf;Düsseldorf
DA;Darmstadt (Stadt);Darmstadt
DA;Darmstadt-Dieburg;Darmstadt
DAH;Dachau;Dachau
DAN;Lüchow-Dannenberg;Lüchow
DAU;Daun;Daun
